model,equation_id,base_word,subtract_word,add_word,rank,result_word,cosine_similarity
skipgram,skipgram_1,dəyirmanın,ələsgərə,aşıq,1,qabağında,0.48367854952812195
skipgram,skipgram_1,dəyirmanın,ələsgərə,aşıq,2,xeyirliklə,0.42502471804618835
skipgram,skipgram_1,dəyirmanın,ələsgərə,aşıq,3,ayağının,0.42018336057662964
skipgram,skipgram_1,dəyirmanın,ələsgərə,aşıq,4,hamınızın,0.41333383321762085
skipgram,skipgram_1,dəyirmanın,ələsgərə,aşıq,5,yеtişdi,0.4115297496318817
skipgram,skipgram_2,yetǝr,sanır,can,1,yüzündǝ,0.4787777066230774
skipgram,skipgram_2,yetǝr,sanır,can,2,ilǝ,0.4592044949531555
skipgram,skipgram_2,yetǝr,sanır,can,3,dǝrman,0.4513040781021118
skipgram,skipgram_2,yetǝr,sanır,can,4,cümlǝ,0.4456336200237274
skipgram,skipgram_2,yetǝr,sanır,can,5,alǝmdǝ,0.44354742765426636
skipgram,skipgram_3,qeyd,edǝr,dil,1,ətlaz,0.34864285588264465
skipgram,skipgram_3,qeyd,edǝr,dil,2,aldın,0.3349027633666992
skipgram,skipgram_3,qeyd,edǝr,dil,3,düşən,0.3332919478416443
skipgram,skipgram_3,qeyd,edǝr,dil,4,bəladır,0.331678569316864
skipgram,skipgram_3,qeyd,edǝr,dil,5,dilinə,0.33105453848838806
skipgram,skipgram_4,fǝda,bivǝfa,yar,1,çəkən,0.43328720331192017
skipgram,skipgram_4,fǝda,bivǝfa,yar,2,sirrin,0.4202944040298462
skipgram,skipgram_4,fǝda,bivǝfa,yar,3,yoluna,0.4137376844882965
skipgram,skipgram_4,fǝda,bivǝfa,yar,4,basıb,0.41321027278900146
skipgram,skipgram_4,fǝda,bivǝfa,yar,5,etməzmidim,0.4077976942062378
skipgram,skipgram_5,kimsənin,çaşır,gözəl,1,elmə,0.4334532618522644
skipgram,skipgram_5,kimsənin,çaşır,gözəl,2,həqiqətdən,0.3932788074016571
skipgram,skipgram_5,kimsənin,çaşır,gözəl,3,demişəm,0.37019240856170654
skipgram,skipgram_5,kimsənin,çaşır,gözəl,4,dür,0.36780887842178345
skipgram,skipgram_5,kimsənin,çaşır,gözəl,5,qoyur,0.36308518052101135
cbow,cbow_1,ələsgərə,bunlara,aşıq,1,oxumağa,0.7464725971221924
cbow,cbow_1,ələsgərə,bunlara,aşıq,2,qurtarandan,0.7387197017669678
cbow,cbow_1,ələsgərə,bunlara,aşıq,3,başladı,0.6825670003890991
cbow,cbow_1,ələsgərə,bunlara,aşıq,4,çalmağa,0.6737581491470337
cbow,cbow_1,ələsgərə,bunlara,aşıq,5,camaata,0.6734491586685181
cbow,cbow_2,sənindir,qandasan,can,1,ahi,0.511748194694519
cbow,cbow_2,sənindir,qandasan,can,2,qəzanın,0.4951903820037842
cbow,cbow_2,sənindir,qandasan,can,3,atəşi,0.47125303745269775
cbow,cbow_2,sənindir,qandasan,can,4,ciyərim,0.4685478210449219
cbow,cbow_2,sənindir,qandasan,can,5,qəddim,0.4665190875530243
cbow,cbow_3,çöhreyi,xun,dil,1,əşk,0.5560718774795532
cbow,cbow_3,çöhreyi,xun,dil,2,çeşm,0.5346592664718628
cbow,cbow_3,çöhreyi,xun,dil,3,əşki,0.5256066918373108
cbow,cbow_3,çöhreyi,xun,dil,4,nəqdin,0.5115113258361816
cbow,cbow_3,çöhreyi,xun,dil,5,oxun,0.5078352093696594
cbow,cbow_4,etmǝk,baxtın,yar,1,nǝdir,0.6717138886451721
cbow,cbow_4,etmǝk,baxtın,yar,2,bivǝfa,0.5783765316009521
cbow,cbow_4,etmǝk,baxtın,yar,3,fǝda,0.5656976699829102
cbow,cbow_4,etmǝk,baxtın,yar,4,neçǝ,0.5611013174057007
cbow,cbow_4,etmǝk,baxtın,yar,5,etmǝkmolur,0.5537537336349487
cbow,cbow_5,buxağın,əndam,gözəl,1,hayıf,0.6275818347930908
cbow,cbow_5,buxağın,əndam,gözəl,2,tellərin,0.6014339327812195
cbow,cbow_5,buxağın,əndam,gözəl,3,hərdən,0.5790610909461975
cbow,cbow_5,buxağın,əndam,gözəl,4,ucu,0.5506704449653625
cbow,cbow_5,buxağın,əndam,gözəl,5,çoxusu,0.5309269428253174
