model,query_word,rank,similar_word,cosine_similarity
skipgram,aşıq,1,ələsgər,0.619468629360199
skipgram,aşıq,2,dəyirmanın,0.5531518459320068
skipgram,aşıq,3,ələsgərə,0.5496110916137695
skipgram,aşıq,4,deyəndən,0.548224925994873
skipgram,aşıq,5,gördülər,0.5410187244415283
skipgram,aşıq,6,ağkilsədə,0.5379747152328491
skipgram,aşıq,7,ələsgərin,0.5320637822151184
skipgram,aşıq,8,bağlamanı,0.5267751812934875
skipgram,aşıq,9,asırdı,0.5266110897064209
skipgram,aşıq,10,salaməleyküm,0.5264178514480591
skipgram,can,1,yetǝr,0.4820614159107208
skipgram,can,2,sanır,0.44822436571121216
skipgram,can,3,tor,0.4482194185256958
skipgram,can,4,sənindir,0.43894141912460327
skipgram,can,5,fəda,0.41842809319496155
skipgram,can,6,yüzündǝ,0.414093017578125
skipgram,can,7,kün,0.40772247314453125
skipgram,can,8,cənnəti,0.40334784984588623
skipgram,can,9,başıma,0.40255242586135864
skipgram,can,10,əhdü,0.40162980556488037
skipgram,dil,1,qeyd,0.45722222328186035
skipgram,dil,2,edǝr,0.4329276382923126
skipgram,dil,3,mahi,0.4270281195640564
skipgram,dil,4,bivǝfa,0.3776201605796814
skipgram,dil,5,tirü,0.37724506855010986
skipgram,dil,6,mötad,0.37703588604927063
skipgram,dil,7,zülfin,0.3764750361442566
skipgram,dil,8,hicr,0.3742561340332031
skipgram,dil,9,əm,0.37088680267333984
skipgram,dil,10,qamu,0.3693637251853943
skipgram,yar,1,fǝda,0.5029196739196777
skipgram,yar,2,bivǝfa,0.4913571774959564
skipgram,yar,3,xandadır,0.4765843451023102
skipgram,yar,4,nǝdir,0.46120256185531616
skipgram,yar,5,busə,0.4464917480945587
skipgram,yar,6,etmǝk,0.4460482895374298
skipgram,yar,7,gəzdirir,0.4401913285255432
skipgram,yar,8,vüsalından,0.43895643949508667
skipgram,yar,9,qövlü,0.4297299385070801
skipgram,yar,10,etməzmidim,0.4266529083251953
skipgram,gözəl,1,kimsənin,0.44425275921821594
skipgram,gözəl,2,çaşır,0.44344866275787354
skipgram,gözəl,3,nizamı,0.43726280331611633
skipgram,gözəl,4,məkanın,0.4341614246368408
skipgram,gözəl,5,tellərin,0.4316783547401428
skipgram,gözəl,6,dərin,0.4287995398044586
skipgram,gözəl,7,əndam,0.4171904921531677
skipgram,gözəl,8,gərdən,0.41686588525772095
skipgram,gözəl,9,dalı,0.4119763970375061
skipgram,gözəl,10,kəlməsi,0.40943580865859985
skipgram,könül,1,bǝnzǝr,0.46523433923721313
skipgram,könül,2,yüzün,0.46266427636146545
skipgram,könül,3,sayru,0.4614207148551941
skipgram,könül,4,ənisim,0.4470857083797455
skipgram,könül,5,dilərsən,0.44361412525177
skipgram,könül,6,gördüyün,0.44278717041015625
skipgram,könül,7,otağı,0.4412834644317627
skipgram,könül,8,gözün,0.44064080715179443
skipgram,könül,9,etmǝk,0.43734532594680786
skipgram,könül,10,bidərd,0.4355352818965912
skipgram,gül,1,rəfiqim,0.448983758687973
skipgram,gül,2,ayrılır,0.4395695626735687
skipgram,gül,3,gülşəndə,0.43699365854263306
skipgram,gül,4,bülbül,0.43143388628959656
skipgram,gül,5,bağ,0.42782315611839294
skipgram,gül,6,vermək,0.4260108470916748
skipgram,gül,7,rəngin,0.4251556992530823
skipgram,gül,8,qumru,0.4225042760372162
skipgram,gül,9,dərmana,0.4140576124191284
skipgram,gül,10,çəkmiyə,0.41323041915893555
skipgram,göz,1,ruzigarım,0.4375864267349243
skipgram,göz,2,soyuq,0.4373123049736023
skipgram,göz,3,dəyməsin,0.4205605089664459
skipgram,göz,4,nә,0.4177377223968506
skipgram,göz,5,içmə,0.40952587127685547
skipgram,göz,6,yaşı,0.4091324806213379
skipgram,göz,7,canım,0.3865874111652374
skipgram,göz,8,üzüm,0.38377898931503296
skipgram,göz,9,dağıdan,0.3793037235736847
skipgram,göz,10,baxtın,0.37894880771636963
skipgram,dərd,1,ürəkdən,0.4293260872364044
skipgram,dərd,2,tüf,0.4232269823551178
skipgram,dərd,3,dərdi,0.4137927293777466
skipgram,dərd,4,qürur,0.4095269739627838
skipgram,dərd,5,еyləmişəm,0.4070849120616913
skipgram,dərd,6,qürbətdə,0.39661598205566406
skipgram,dərd,7,dağıdan,0.3947261571884155
skipgram,dərd,8,ölsün,0.39297550916671753
skipgram,dərd,9,mərhəm,0.39282476902008057
skipgram,dərd,10,dad,0.3906976282596588
skipgram,sultan,1,geysin,0.5802973508834839
skipgram,sultan,2,cavad,0.5223143696784973
skipgram,sultan,3,mehman,0.5178037881851196
skipgram,sultan,4,oxurlar,0.4812522530555725
skipgram,sultan,5,sərbəsər,0.4731709063053131
skipgram,sultan,6,giriftari,0.4497355818748474
skipgram,sultan,7,yeksan,0.43589577078819275
skipgram,sultan,8,cənnətü,0.4319465756416321
skipgram,sultan,9,dövran,0.4279574155807495
skipgram,sultan,10,onnarın,0.425348699092865
cbow,aşıq,1,ələsgərə,0.8562692403793335
cbow,aşıq,2,bunlara,0.8123389482498169
cbow,aşıq,3,qurtarandan,0.8080669045448303
cbow,aşıq,4,bağlamanı,0.7983508110046387
cbow,aşıq,5,oxumağa,0.7788246870040894
cbow,aşıq,6,ələsgər,0.7619876861572266
cbow,aşıq,7,dilləndi,0.7594440579414368
cbow,aşıq,8,camaata,0.7409956455230713
cbow,aşıq,9,mikayılın,0.7386033535003662
cbow,aşıq,10,vеrəcəm,0.7373825907707214
cbow,can,1,sənindir,0.5338432788848877
cbow,can,2,qandasan,0.51304030418396
cbow,can,3,təndə,0.5055152773857117
cbow,can,4,bəxtim,0.5035401582717896
cbow,can,5,aşiyan,0.49098333716392517
cbow,can,6,tökər,0.4885731339454651
cbow,can,7,yelə,0.4848002791404724
cbow,can,8,əhdü,0.4754634499549866
cbow,can,9,etdiyimdəndir,0.47435855865478516
cbow,can,10,kərə,0.46358391642570496
cbow,dil,1,çöhreyi,0.6345148086547852
cbow,dil,2,xun,0.592292070388794
cbow,dil,3,əşk,0.544788658618927
cbow,dil,4,təni,0.5401405692100525
cbow,dil,5,çeşmim,0.5393198132514954
cbow,dil,6,çeşm,0.5292198657989502
cbow,dil,7,dəfi,0.5288762450218201
cbow,dil,8,xəyalilə,0.5246807932853699
cbow,dil,9,ahim,0.5156515836715698
cbow,dil,10,mövc,0.5056712031364441
cbow,yar,1,etmǝk,0.5391407012939453
cbow,yar,2,baxtın,0.5321838855743408
cbow,yar,3,gizli,0.4982302784919739
cbow,yar,4,gəzdirir,0.49773985147476196
cbow,yar,5,könül,0.4969082474708557
cbow,yar,6,neçǝ,0.4967106878757477
cbow,yar,7,ələsgəri,0.48708170652389526
cbow,yar,8,olanda,0.4828449785709381
cbow,yar,9,sirrin,0.48169487714767456
cbow,yar,10,nǝdir,0.4788166880607605
cbow,gözəl,1,buxağın,0.6333821415901184
cbow,gözəl,2,əndam,0.6287782192230225
cbow,gözəl,3,büllur,0.6176092624664307
cbow,gözəl,4,tellərin,0.6068688631057739
cbow,gözəl,5,qaymaq,0.5747780799865723
cbow,gözəl,6,bəyaz,0.573864758014679
cbow,gözəl,7,dəhanı,0.5586114525794983
cbow,gözəl,8,siyah,0.5572951436042786
cbow,gözəl,9,göyçək,0.5450696349143982
cbow,gözəl,10,buxaq,0.5432265996932983
cbow,könül,1,yandı,0.5581195950508118
cbow,könül,2,qoyma,0.5578321814537048
cbow,könül,3,axdı,0.5223031640052795
cbow,könül,4,canı,0.5164535045623779
cbow,könül,5,dərdimi,0.505295991897583
cbow,könül,6,dürüst,0.5042805671691895
cbow,könül,7,halımı,0.5008782148361206
cbow,könül,8,yar,0.4969082474708557
cbow,könül,9,deyəm,0.49635905027389526
cbow,könül,10,sayru,0.49456915259361267
cbow,gül,1,lalə,0.6139436960220337
cbow,gül,2,gülşəndə,0.585726261138916
cbow,gül,3,gülzar,0.5814933776855469
cbow,gül,4,şükufə,0.5806183815002441
cbow,gül,5,bərgi,0.5756216049194336
cbow,gül,6,xarə,0.5674363970756531
cbow,gül,7,eyş,0.56293785572052
cbow,gül,8,bağ,0.5578634738922119
cbow,gül,9,bülbül,0.5570632219314575
cbow,gül,10,sanasan,0.5362461805343628
cbow,göz,1,gözə,0.6557191014289856
cbow,göz,2,axdı,0.6382986307144165
cbow,göz,3,yaş,0.6147871017456055
cbow,göz,4,dəyməsin,0.592830240726471
cbow,göz,5,yaşı,0.5843368768692017
cbow,göz,6,söndü,0.5640795230865479
cbow,göz,7,odundan,0.5463776588439941
cbow,göz,8,hübab,0.5437558889389038
cbow,göz,9,nigah,0.5429147481918335
cbow,göz,10,töküb,0.5425736904144287
cbow,dərd,1,dərman,0.5622374415397644
cbow,dərd,2,bilmir,0.5381133556365967
cbow,dərd,3,еyləmişəm,0.49730825424194336
cbow,dərd,4,həkim,0.49178072810173035
cbow,dərd,5,cünun,0.48780789971351624
cbow,dərd,6,dərdi,0.4829549491405487
cbow,dərd,7,bədəndən,0.4787495732307434
cbow,dərd,8,bilmən,0.4771568775177002
cbow,dərd,9,dərdim,0.4704706370830536
cbow,dərd,10,iti,0.4640572667121887
cbow,sultan,1,yeksan,0.7263623476028442
cbow,sultan,2,xan,0.7176687717437744
cbow,sultan,3,sərbəsər,0.7142074704170227
cbow,sultan,4,cavad,0.7082406282424927
cbow,sultan,5,sərdar,0.6944249868392944
cbow,sultan,6,vücudin,0.6858938932418823
cbow,sultan,7,vücud,0.5956621766090393
cbow,sultan,8,dövran,0.5955695509910583
cbow,sultan,9,nazik,0.5868567228317261
cbow,sultan,10,geysin,0.5716042518615723
